"property_id","created_at","device_prop_name","property_value","property_obj","property_addr"
"629752c288c869f87c1161fd",2023-02-07 02:35:43.491 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 21:40:35.146 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 08:52:59.251 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-16 17:31:24.051 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-15 16:13:00.397 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 20:13:25.774 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-13 09:55:27.496 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-19 21:10:11.621 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-14 21:53:25.734 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 18:46:14.669 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-21 11:25:50.867 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 10:20:09.588 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 17:19:03.376 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 15:51:48.984 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-07 01:09:34.556 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-29 23:09:59.368 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 11:47:31.263 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
