"created_at","device_prop_name","property_value"
2022-09-29 23:18:42.629 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 00:45:28.002 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 00:45:28.531 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-09-30 00:45:29.273 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 00:45:30.201 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 00:45:31.312 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 00:45:32.221 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-30 00:45:54.692 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 02:12:43.687 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 02:12:44.220 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 02:12:44.953 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 02:12:45.902 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 02:12:47.056 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 02:12:47.949 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-30 02:13:07.472 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 03:39:40.771 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 03:39:41.091 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 03:39:41.804 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 03:39:42.707 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 03:39:43.829 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 03:39:44.737 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-30 03:40:04.263 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 05:06:40.161 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 05:06:40.688 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 05:06:41.405 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 05:06:42.384 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 05:06:43.454 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 05:06:44.365 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-30 05:07:04.217 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 06:33:43.620 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-30 06:33:44.157 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 06:33:44.931 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 06:33:45.888 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 06:33:46.963 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 06:33:47.921 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-30 06:34:07.488 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 08:00:51.344 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 08:00:51.893 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-09-30 08:00:52.615 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-30 08:00:53.524 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 08:00:54.678 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 08:00:55.576 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-30 08:01:15.409 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 09:28:05.754 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 09:28:06.276 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-09-30 09:28:07.083 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-30 09:28:08.024 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 09:28:12.122 +0300,RF'Area09'OS34'AHUMRF02'RAT,24
