"created_at","device_prop_name","property_value","property_obj"
2022-07-08 01:15:30.194 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-26 21:38:11.939 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-25 18:12:15.164 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-19 04:30:43.468 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-29 01:58:23.578 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 17:35:06.342 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-23 00:35:21.956 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 03:46:23.618 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-14 12:57:14.410 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-03 16:13:12.035 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-17 18:28:17.036 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-21 02:23:20.400 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-12 11:23:03.119 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-31 03:27:41.129 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-13 15:32:16.011 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-17 06:23:20.624 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-16 17:55:10.777 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-10 09:31:55.769 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-10 22:28:47.191 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-03 23:11:23.337 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 19:02:20.083 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-29 21:56:26.212 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-12 17:58:26.453 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 06:12:42.769 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-03 01:47:34.172 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-04 16:45:04.315 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-30 18:58:58.768 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-28 04:29:04.025 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-16 18:20:31.388 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-29 00:59:21.860 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-25 23:37:41.487 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-13 05:44:26.368 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-06 21:44:34.047 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-13 23:26:22.361 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-03 18:55:51.195 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 20:29:39.088 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-03 17:38:39.300 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-02 08:58:54.560 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-09 11:39:04.051 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 08:38:59.209 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-21 13:43:58.781 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-05 11:38:00.941 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-24 17:50:36.002 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-04 00:38:01.933 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-20 03:10:58.139 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-31 04:54:13.430 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-03 02:59:28.388 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-07 00:57:58.598 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-15 05:11:23.913 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-23 21:10:50.296 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 21:56:58.660 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-20 21:27:44.348 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-25 19:39:24.104 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-21 17:46:25.190 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-19 09:14:27.621 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 11:05:32.268 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-17 12:00:34.935 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-09 01:24:09.075 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-20 12:44:33.118 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-16 14:23:46.487 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-01 16:41:42.891 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-10 20:47:32.646 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-28 05:56:34.642 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-25 17:09:26.168 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-09 23:53:33.381 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 23:24:07.727 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-23 03:49:44.799 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-08 21:45:30.563 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-04 02:04:45.246 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-06 03:41:54.627 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-14 19:42:24.773 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 13:32:21.767 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-08 17:21:30.618 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-13 04:00:51.721 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-22 08:51:41.777 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-31 06:20:51.380 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-22 08:23:58.168 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-08 18:57:58.875 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-13 09:53:40.445 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-15 23:43:13.067 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-20 13:25:34.424 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-16 21:39:29.322 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
