"created_at","device_prop_name","property_value"
2022-09-29 08:45:46.067 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 08:45:48.297 +0300,RF'Area09'OS34'AHUMRF02'SAT,13
2022-09-29 08:45:51.280 +0300,RF'Area05'OS36'AHUMRF03'SAT,14
2022-09-29 08:46:10.134 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 08:46:32.030 +0300,RF'Area11'OS37'RAHU14'SAT,30
2022-09-29 08:46:33.169 +0300,RF'Area10'OS32'RAHU28'SAT,29
2022-09-29 08:46:34.102 +0300,RF'Area02'OS22'RAHU01'SAT,31
2022-09-29 08:46:34.662 +0300,RF'Area09'OS30'RAHU11'SAT,30
2022-09-29 08:46:35.216 +0300,RF'Area07'OS29'RAHU07'SAT,32
2022-09-29 08:46:38.260 +0300,RF'Area02'OS21'RAHU02'SAT,16
2022-09-29 08:46:39.723 +0300,RF'Area04'OS26'RAHU05'SAT,30
2022-09-29 08:46:41.490 +0300,RF'Area08'OS28'RAHU10'SAT,32
2022-09-29 08:46:54.824 +0300,RF'Area03'OS25'RAHU06'SAT,33
2022-09-29 08:46:56.274 +0300,RF'Area02'OS23A'RAHU04'SAT,27
2022-09-29 08:47:06.661 +0300,RF'Area09'OS34'RAHU12'SAT,29
2022-09-29 08:47:12.064 +0300,RF'Area05'OS36'RAHU13'SAT,31
2022-09-29 08:47:46.890 +0300,RF'Area02'OS22'RAHU15'SAT,27
2022-09-29 08:47:48.434 +0300,RF'Area09'OS30'RAHU25'SAT,17
2022-09-29 08:47:51.199 +0300,RF'Area07'OS29'RAHU21'SAT,31
2022-09-29 08:47:53.070 +0300,RF'Area02'OS21'RAHU16'SAT,19
2022-09-29 08:47:53.968 +0300,RF'Area04'OS26'RAHU19'SAT,18
2022-09-29 08:48:09.564 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 08:48:10.108 +0300,RF'Area02'OS23A'RAHU18'SAT,10
2022-09-29 08:48:10.306 +0300,RF'Area08'OS28'RAHU24'SAT,29
2022-09-29 08:48:20.698 +0300,RF'Area05'OS36'RAHU27'SAT,15
2022-09-29 08:48:22.917 +0300,RF'Area09'OS34A'RAHU26'SAT,13
2022-09-29 10:13:06.606 +0300,RF'Area02'OS23'AHUMRF02'SAT,17
2022-09-29 10:13:07.334 +0300,RF'AREA01'OS19'AHUMRF011'SAT,27
2022-09-29 10:13:07.781 +0300,LG'Area01'OS01'AHUMB01'SAT,24
2022-09-29 10:13:09.632 +0300,RF'Area01'OS20'AHUMRF012'SAT,31
2022-09-29 10:13:11.572 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 10:13:11.925 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 10:13:12.849 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 10:13:15.137 +0300,RF'Area09'OS34'AHUMRF02'SAT,14
2022-09-29 10:13:18.094 +0300,RF'Area05'OS36'AHUMRF03'SAT,14
2022-09-29 10:13:37.203 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 10:13:55.762 +0300,RF'Area11'OS37'RAHU14'SAT,31
2022-09-29 10:13:56.862 +0300,RF'Area10'OS32'RAHU28'SAT,29
2022-09-29 10:13:57.801 +0300,RF'Area02'OS22'RAHU01'SAT,31
2022-09-29 10:13:58.339 +0300,RF'Area09'OS30'RAHU11'SAT,29
2022-09-29 10:13:58.904 +0300,RF'Area07'OS29'RAHU07'SAT,32
2022-09-29 10:14:02.063 +0300,RF'Area02'OS21'RAHU02'SAT,15
2022-09-29 10:14:03.491 +0300,RF'Area04'OS26'RAHU05'SAT,29
2022-09-29 10:14:05.432 +0300,RF'Area08'OS28'RAHU10'SAT,32
2022-09-29 10:14:18.655 +0300,RF'Area03'OS25'RAHU06'SAT,33
2022-09-29 10:14:20.126 +0300,RF'Area02'OS23A'RAHU04'SAT,26
2022-09-29 10:14:30.458 +0300,RF'Area09'OS34'RAHU12'SAT,29
2022-09-29 10:14:32.645 +0300,RF'Area05'OS36'RAHU13'SAT,32
2022-09-29 10:15:10.601 +0300,RF'Area02'OS22'RAHU15'SAT,28
2022-09-29 10:15:12.264 +0300,RF'Area09'OS30'RAHU25'SAT,17
2022-09-29 10:15:15.171 +0300,RF'Area07'OS29'RAHU21'SAT,32
2022-09-29 10:15:16.981 +0300,RF'Area02'OS21'RAHU16'SAT,18
2022-09-29 10:15:17.889 +0300,RF'Area04'OS26'RAHU19'SAT,18
2022-09-29 10:15:33.648 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 10:15:34.210 +0300,RF'Area02'OS23A'RAHU18'SAT,10
2022-09-29 10:15:34.449 +0300,RF'Area08'OS28'RAHU24'SAT,27
2022-09-29 10:15:44.907 +0300,RF'Area05'OS36'RAHU27'SAT,18
2022-09-29 10:15:47.200 +0300,RF'Area09'OS34A'RAHU26'SAT,13
2022-09-29 11:40:37.522 +0300,RF'Area02'OS23'AHUMRF02'SAT,18
2022-09-29 11:40:38.294 +0300,RF'AREA01'OS19'AHUMRF011'SAT,21
2022-09-29 11:40:38.707 +0300,LG'Area01'OS01'AHUMB01'SAT,22
2022-09-29 11:40:40.554 +0300,RF'Area01'OS20'AHUMRF012'SAT,31
2022-09-29 11:40:42.495 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 11:40:42.854 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 11:40:43.802 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 11:40:45.942 +0300,RF'Area09'OS34'AHUMRF02'SAT,16
2022-09-29 11:40:48.943 +0300,RF'Area05'OS36'AHUMRF03'SAT,13
2022-09-29 11:41:07.947 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 11:41:26.360 +0300,RF'Area11'OS37'RAHU14'SAT,31
2022-09-29 11:41:27.411 +0300,RF'Area10'OS32'RAHU28'SAT,30
2022-09-29 11:41:28.294 +0300,RF'Area02'OS22'RAHU01'SAT,31
2022-09-29 11:41:28.827 +0300,RF'Area09'OS30'RAHU11'SAT,30
2022-09-29 11:41:29.388 +0300,RF'Area07'OS29'RAHU07'SAT,33
2022-09-29 11:41:32.443 +0300,RF'Area02'OS21'RAHU02'SAT,15
2022-09-29 11:41:33.845 +0300,RF'Area04'OS26'RAHU05'SAT,30
2022-09-29 11:41:35.661 +0300,RF'Area08'OS28'RAHU10'SAT,33
2022-09-29 11:41:48.797 +0300,RF'Area03'OS25'RAHU06'SAT,34
2022-09-29 11:41:50.270 +0300,RF'Area02'OS23A'RAHU04'SAT,23
2022-09-29 11:42:00.930 +0300,RF'Area09'OS34'RAHU12'SAT,29
2022-09-29 11:42:03.065 +0300,RF'Area05'OS36'RAHU13'SAT,33
2022-09-29 11:42:40.454 +0300,RF'Area02'OS22'RAHU15'SAT,25
2022-09-29 11:42:42.228 +0300,RF'Area09'OS30'RAHU25'SAT,17
2022-09-29 11:42:45.134 +0300,RF'Area07'OS29'RAHU21'SAT,32
2022-09-29 11:42:47.161 +0300,RF'Area02'OS21'RAHU16'SAT,18
2022-09-29 11:42:48.131 +0300,RF'Area04'OS26'RAHU19'SAT,19
2022-09-29 11:43:03.627 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 11:43:07.300 +0300,RF'Area02'OS23A'RAHU18'SAT,10
2022-09-29 11:43:07.471 +0300,RF'Area08'OS28'RAHU24'SAT,31
2022-09-29 11:43:17.850 +0300,RF'Area05'OS36'RAHU27'SAT,16
2022-09-29 11:43:20.603 +0300,RF'Area09'OS34A'RAHU26'SAT,13
2022-09-29 13:08:16.614 +0300,RF'Area02'OS23'AHUMRF02'SAT,18
2022-09-29 13:08:17.420 +0300,RF'AREA01'OS19'AHUMRF011'SAT,20
2022-09-29 13:08:17.854 +0300,LG'Area01'OS01'AHUMB01'SAT,16
2022-09-29 13:08:19.828 +0300,RF'Area01'OS20'AHUMRF012'SAT,32
2022-09-29 13:08:24.375 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 13:08:24.378 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 13:08:24.518 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 13:08:25.302 +0300,RF'Area09'OS34'AHUMRF02'SAT,22
2022-09-29 13:08:28.475 +0300,RF'Area05'OS36'AHUMRF03'SAT,15
2022-09-29 13:08:48.215 +0300,LG'Area01'OS01'AHUMB02'SAT,12
