"created_at","device_prop_name","property_value"
2022-09-29 08:47:39.026 +0300,RF'Area09'OS30'RAHU25'RATEMP,27.3
2022-09-29 08:47:39.477 +0300,RF'Area07'OS29'RAHU21'RATEMP,31.42
2022-09-29 08:47:43.350 +0300,RF'Area03'OS24'RAHU17'RATEMP,28.119999
2022-09-29 08:47:44.059 +0300,RF'Area02'OS21'RAHU16'RATEMP,28.3
2022-09-29 08:47:45.158 +0300,RF'Area04'OS26'RAHU19'RATEMP,28.68
2022-09-29 08:48:00.656 +0300,RF'Area03'OS25'RAHU20'RATEMP,0.0
2022-09-29 08:48:01.305 +0300,RF'Area02'OS23A'RAHU18'RATEMP,29.0
2022-09-29 08:48:01.730 +0300,RF'Area08'OS28'RAHU24'RATEMP,29.179998
2022-09-29 08:48:11.567 +0300,RF'Area05'OS36'RAHU27'RATEMP,26.66
2022-09-29 08:48:12.126 +0300,RF'Area09'OS34A'RAHU26'RATEMP,25.58
2022-09-29 10:13:46.533 +0300,RF'Area07'OS31'RAHU09'RATEMP,30.34
2022-09-29 10:13:46.536 +0300,RF'Area11'OS37'RAHU14'RATEMP,31.08
2022-09-29 10:13:47.380 +0300,RF'Area08'OS27'RAHU08'RATEMP,25.359999
2022-09-29 10:13:48.084 +0300,RF'Area10'OS32'RAHU28'RATEMP,29.92
2022-09-29 10:13:48.775 +0300,RF'Area09'OS30'RAHU11'RATEMP,19.98
2022-09-29 10:13:49.725 +0300,RF'Area02'OS22'RAHU01'RATEMP,31.32
2022-09-29 10:13:50.310 +0300,RF'Area07'OS29'RAHU07'RATEMP,32.04
2022-09-29 10:13:52.368 +0300,RF'Area03'OS24'RAHU03'RATEMP,19.439999
2022-09-29 10:13:52.969 +0300,RF'Area02'OS21'RAHU02'RATEMP,30.58
2022-09-29 10:13:54.648 +0300,RF'Area04'OS26'RAHU05'RATEMP,19.1
2022-09-29 10:13:56.183 +0300,RF'Area08'OS28'RAHU10'RATEMP,32.1
2022-09-29 10:14:09.597 +0300,RF'Area03'OS25'RAHU06'RATEMP,33.739998
2022-09-29 10:14:10.874 +0300,RF'Area02'OS23A'RAHU04'RATEMP,31.199999
2022-09-29 10:14:21.681 +0300,RF'Area09'OS34'RAHU12'RATEMP,28.199999
2022-09-29 10:14:23.140 +0300,RF'Area05'OS36'RAHU13'RATEMP,33.7
2022-09-29 10:14:58.600 +0300,RF'Area07'OS31'RAHU23'RATEMP,26.92
2022-09-29 10:15:01.140 +0300,RF'Area02'OS22'RAHU15'RATEMP,27.92
2022-09-29 10:15:01.630 +0300,RF'Area08'OS27'RAHU22'RATEMP,24.18
2022-09-29 10:15:02.610 +0300,RF'Area09'OS30'RAHU25'RATEMP,27.58
2022-09-29 10:15:03.030 +0300,RF'Area07'OS29'RAHU21'RATEMP,31.699999
2022-09-29 10:15:07.125 +0300,RF'Area03'OS24'RAHU17'RATEMP,28.539999
2022-09-29 10:15:07.944 +0300,RF'Area02'OS21'RAHU16'RATEMP,28.779999
2022-09-29 10:15:09.103 +0300,RF'Area04'OS26'RAHU19'RATEMP,29.0
2022-09-29 10:15:24.648 +0300,RF'Area03'OS25'RAHU20'RATEMP,0.0
2022-09-29 10:15:25.222 +0300,RF'Area02'OS23A'RAHU18'RATEMP,29.92
2022-09-29 10:15:25.705 +0300,RF'Area08'OS28'RAHU24'RATEMP,28.5
2022-09-29 10:15:35.791 +0300,RF'Area05'OS36'RAHU27'RATEMP,27.199999
2022-09-29 10:15:36.352 +0300,RF'Area09'OS34A'RAHU26'RATEMP,25.539999
2022-09-29 11:41:17.185 +0300,RF'Area07'OS31'RAHU09'RATEMP,30.42
2022-09-29 11:41:17.357 +0300,RF'Area11'OS37'RAHU14'RATEMP,31.3
2022-09-29 11:41:19.018 +0300,RF'Area08'OS27'RAHU08'RATEMP,25.039999
2022-09-29 11:41:19.138 +0300,RF'Area10'OS32'RAHU28'RATEMP,30.26
2022-09-29 11:41:19.704 +0300,RF'Area09'OS30'RAHU11'RATEMP,19.939999
2022-09-29 11:41:20.593 +0300,RF'Area02'OS22'RAHU01'RATEMP,31.48
2022-09-29 11:41:21.139 +0300,RF'Area07'OS29'RAHU07'RATEMP,31.679998
2022-09-29 11:41:23.137 +0300,RF'Area03'OS24'RAHU03'RATEMP,19.619999
2022-09-29 11:41:23.663 +0300,RF'Area02'OS21'RAHU02'RATEMP,30.84
2022-09-29 11:41:25.330 +0300,RF'Area04'OS26'RAHU05'RATEMP,19.039999
2022-09-29 11:41:26.720 +0300,RF'Area08'OS28'RAHU10'RATEMP,32.219997
2022-09-29 11:41:39.846 +0300,RF'Area03'OS25'RAHU06'RATEMP,34.059998
2022-09-29 11:41:41.115 +0300,RF'Area02'OS23A'RAHU04'RATEMP,29.859999
2022-09-29 11:41:51.907 +0300,RF'Area09'OS34'RAHU12'RATEMP,28.5
2022-09-29 11:41:53.450 +0300,RF'Area05'OS36'RAHU13'RATEMP,34.94
2022-09-29 11:42:29.086 +0300,RF'Area07'OS31'RAHU23'RATEMP,27.0
2022-09-29 11:42:31.804 +0300,RF'Area02'OS22'RAHU15'RATEMP,27.48
